[2025-07-08 20:30:01.579525] TCP | N/A:443 -> N/A:61252 | Flags: PA | TTL: N/A | Window: 16388 | Payload: 99 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:01.613358] TCP | N/A:61252 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.818901] TCP | N/A:443 -> N/A:61405 | Flags: SA | TTL: N/A | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:01.820922] TCP | N/A:61405 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.824421] TCP | N/A:61405 -> N/A:443 | Flags: PA | TTL: N/A | Window: 255 | Payload: 517 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.970135] Unknown | N/A:N/A -> N/A:N/A | Flags: N/A | TTL: N/A | Window: N/A | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.974041] Unknown | N/A:N/A -> N/A:N/A | Flags: N/A | TTL: N/A | Window: N/A | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.055070] Unknown | N/A:N/A -> N/A:N/A | Flags: N/A | TTL: N/A | Window: N/A | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.057025] Unknown | N/A:N/A -> N/A:N/A | Flags: N/A | TTL: N/A | Window: N/A | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.093756] TCP | N/A:443 -> N/A:61405 | Flags: PA | TTL: N/A | Window: 16386 | Payload: 99 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.095715] TCP | N/A:61405 -> N/A:443 | Flags: PA | TTL: N/A | Window: 255 | Payload: 437 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.307572] TCP | 13.89.178.27:443 -> 192.168.200.118:61394 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.345012] TCP | 13.89.178.27:443 -> 192.168.200.118:61392 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.352374] TCP | N/A:443 -> N/A:61405 | Flags: A | TTL: N/A | Window: 16385 | Payload: 1340 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.354654] TCP | N/A:443 -> N/A:61405 | Flags: A | TTL: N/A | Window: 16385 | Payload: 1340 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.356617] TCP | N/A:443 -> N/A:61405 | Flags: A | TTL: N/A | Window: 16385 | Payload: 1340 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.358576] TCP | N/A:443 -> N/A:61405 | Flags: PA | TTL: N/A | Window: 16385 | Payload: 470 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.360522] TCP | N/A:61405 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.362514] TCP | N/A:61405 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 1340 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.364571] TCP | N/A:61405 -> N/A:443 | Flags: PA | TTL: N/A | Window: 255 | Payload: 374 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.590490] TCP | 13.89.178.27:443 -> 192.168.200.118:61404 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.612135] TCP | N/A:443 -> N/A:61405 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.615082] TCP | N/A:443 -> N/A:61405 | Flags: PA | TTL: N/A | Window: 16388 | Payload: 103 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:02.654881] TCP | N/A:61405 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:02.833758] TCP | N/A:443 -> N/A:61405 | Flags: FPA | TTL: N/A | Window: 16388 | Payload: 465 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
